BirthYear,Sex,LicenseYear,CarBrand,CarType,CarYear,CarEngine,EngineCap,CarValue,AssistanceYears,Accidents,NextAccident
1982,0,5.9143,4,3,2012,1702,131,50300,3.9151,2,1
1990,1,5.3312,8,3,2011,1310,91,61050,3.6652,2,0
1979,1,15.4105,3,3,2012,1452,146,60300,5.831,1,0
1959,1,12.2451,5,1,2012,1710,168,73300,5.6644,0,0
NA,1,13.7445,4,3,2008,1558,130,30350,2.3324,2,0
1975,0,17.3264,5,4,2002,1630,NA,33800,10.6624,3,0
NA,1,5.2479,2,3,2009,1526,108,50000,4.7481,1,0
1984,0,14.4109,5,3,2010,1368,131,68250,11.662,1,0
NA,1,12.7449,4,3,2011,1400,NA,58850,3.9984,4,0
1980,1,14.7441,2,3,2009,1698,NA,40550,3.2487,1,0
1995,1,5.0813,1,2,2013,1156,93,54950,0.1666,1,0
1971,1,18.9924,4,3,2010,1100,99,56800,3.4153,0,0
1981,1,12.0785,9,2,2010,1322,110,58750,6.5807,0,0
1980,1,15.4938,9,1,2010,1884,137,55700,6.9139,2,1
1980,1,21.2415,5,1,2011,1830,177,56700,7.497,1,0
1982,0,13.4946,4,1,2004,1792,219,33000,6.4141,2,1
1979,0,10.3292,7,1,2012,1912,138,60150,1.8326,0,0
NA,1,16.4934,5,1,2005,1702,NA,35750,12.0785,2,1
1969,1,13.4113,2,2,2006,1562,95,31400,10.1626,0,0
1957,1,33.7365,9,3,2005,1222,NA,34800,26.3228,1,0
1976,0,16.1602,1,3,2004,1392,133,32850,7.6636,2,1
1984,1,14.3276,1,3,2010,1318,125,61600,0.7497,1,0
1982,0,10.4125,3,3,2012,1162,76,46450,2.4157,2,0
1982,1,18.1594,3,3,2008,1418,108,32800,11.5787,1,0
1973,0,13.1614,3,1,2013,2440,148,40100,8.1634,2,0
1960,0,28.2387,1,3,2009,1618,144,55200,3.9984,0,0
1993,0,4.8314,8,1,2011,2218,144,70150,0.3332,0,0
1988,0,13.0781,2,4,2013,1914,184,48100,0.0833,1,0
1979,0,17.2431,5,4,2012,1622,137,54050,8.6632,2,0
1990,0,10.5791,3,3,2012,1192,101,74850,5.3312,0,0
1985,1,11.4121,1,2,2013,1364,138,73250,2.8322,2,0
NA,1,27.3224,4,3,2006,1488,132,32800,5.4978,1,0
NA,0,11.4121,7,1,2008,1838,NA,30300,5.4145,0,0
1981,1,16.3268,4,3,2009,1200,117,62100,9.2463,2,0
1988,1,6.4974,4,3,2012,1846,218,54450,3.332,2,0
1966,0,1.3328,7,2,2013,1436,123,51250,0.4165,1,0
1992,1,2.9155,3,3,2004,1584,NA,32150,0.9996,0,1
1982,1,15.9103,2,2,2002,1926,126,32200,5.2479,1,0
NA,1,8.5799,8,3,2013,1664,241,50150,1.9992,3,0
NA,1,4.4982,7,4,2011,1876,167,42250,2.4157,1,1
NA,0,6.0809,3,3,1998,2156,268,32150,2.1658,0,0
1990,1,5.9143,5,2,2012,1220,91,53050,2.2491,0,0
1979,1,15.1606,4,3,2002,1248,NA,31350,9.163,1,0
1965,1,19.4922,5,3,2004,1288,139,34650,11.4121,0,0
1970,0,27.3224,3,1,2013,1674,NA,48600,17.9095,1,0
NA,0,14.6608,1,1,2010,2230,325,40050,8.1634,0,0
1966,1,18.8258,8,1,2004,1870,186,34500,11.9119,2,0
1987,0,13.4946,2,3,2009,1790,133,55000,13.4113,3,1
1985,0,5.6644,3,3,2010,1430,NA,47800,1.8326,0,0
1959,0,26.3228,7,3,2011,1142,99,56150,16.4101,2,0
NA,0,7.9135,8,3,2013,1418,119,58600,4.3316,1,0
NA,0,6.3308,2,3,2007,1502,107,36350,3.1654,0,1
1990,0,3.5819,5,1,2013,2256,153,64650,2.6656,2,0
1978,1,20.5751,2,3,2007,1374,129,35250,16.7433,0,0
1981,1,19.8254,4,3,2013,1408,136,45750,16.3268,0,1
1978,1,8.8298,9,2,2011,1144,84,51800,3.9151,1,0
1962,1,19.159,1,2,2013,1126,80,53450,12.5783,0,0
1966,1,23.5739,4,3,2012,1252,126,79450,17.4097,4,0
1984,1,14.2443,1,2,2012,1444,97,62800,9.9127,4,0
1987,1,5.9143,6,2,2011,1518,103,57700,1.3328,2,0
1984,1,6.8306,5,3,2011,1238,NA,54100,1.2495,2,0
1984,0,6.4974,2,2,2013,1732,151,48100,3.5819,0,0
1967,0,1.2495,8,4,2011,2094,245,41750,0.4998,NA,1
1959,1,20.4918,1,3,2013,1472,NA,49500,10.3292,0,0
1989,0,10.4125,3,4,2012,2160,166,53050,3.5819,0,0
NA,1,2.6656,4,2,2006,1632,NA,33250,0.9163,1,0
NA,1,6.9139,9,2,2010,1702,271,62150,5.831,0,0
1994,1,0.7497,4,3,2011,1238,NA,66100,0.6664,1,1
1975,0,18.4926,3,4,2012,1842,190,57150,12.6616,1,0
1984,1,11.2455,3,2,2013,1538,122,47750,8.4966,0,0
1983,0,8.9964,1,1,2013,1918,244,66450,2.1658,1,0
1979,1,8.1634,2,2,2009,1566,146,50250,0.3332,0,1
1961,1,18.8258,5,3,2002,1626,207,32900,15.2439,0,0
1957,0,17.9095,4,2,2012,1400,107,61150,13.6612,0,0
1979,1,7.7469,3,1,2003,1872,NA,34500,3.4153,2,1
1987,0,7.2471,8,4,2010,1984,153,53450,0.4998,0,0
1973,0,28.1554,5,3,2012,1576,110,65050,2.7489,2,0
1991,0,6.5807,8,4,2012,1812,235,40150,5.4145,2,1
1988,0,12.1618,3,1,2005,1690,172,37950,8.2467,2,0
1972,0,10.9956,4,3,2012,1362,147,77700,0,0,0
1980,1,10.5791,2,2,2012,1166,91,78500,0.7497,3,0
1981,1,12.6616,3,3,2011,1698,191,58500,5.3312,3,0
1970,1,15.9936,4,2,2013,1628,122,58150,6.4141,0,0
1987,1,3.9151,8,3,2013,1560,109,57850,3.7485,1,0
1961,0,18.8258,2,4,2013,1714,127,54150,13.4113,NA,0
1971,0,25.9896,5,1,2012,1648,230,60100,23.9071,2,0
1983,1,7.7469,3,1,2010,1720,124,78950,5.7477,1,0
1972,1,21.9912,2,3,2010,1642,215,62600,0.3332,2,0
1986,0,6.1642,8,2,2008,1606,244,32800,3.8318,1,0
1995,1,6.1642,4,1,2009,2016,314,43600,4.0817,1,1
1989,1,3.4986,3,1,2012,2024,181,73550,1.3328,3,0
1995,1,4.5815,4,3,2006,1288,137,35400,1.2495,1,0
1991,1,4.6648,7,3,2002,1614,212,38550,3.1654,0,1
NA,1,15.827,5,3,2013,1558,137,59800,12.4117,1,0
1968,1,14.3276,2,2,2007,1262,141,32350,4.7481,1,0
1970,1,15.9936,1,2,2013,1270,140,52650,7.3304,2,0
1977,1,22.5743,2,3,2008,1166,96,30900,4.3316,0,0
1978,1,13.8278,2,2,2005,1328,106,31000,6.0809,1,1
1948,0,5.3312,1,1,2005,1756,112,31100,3.6652,1,0
1951,1,38.9011,9,3,2011,1786,169,42700,29.4882,2,1
1979,1,3.4153,1,2,2012,1284,113,50600,1.666,1,0
NA,1,11.0789,2,3,2006,1548,97,31900,4.2483,0,1
1992,0,6.5807,5,4,2007,2034,NA,34600,2.9988,2,1
NA,1,16.2435,2,2,2010,1632,NA,65450,11.5787,NA,0
NA,1,11.7453,5,3,2012,1696,143,75100,11.1622,0,0
1977,0,24.0737,2,2,2006,1416,143,35900,13.6612,0,0
1984,1,14.6608,5,2,2013,1630,NA,42900,4.9147,0,0
1988,0,6.7473,2,3,2012,1164,91,53150,4.165,2,0
1990,0,6.9972,2,4,2010,2062,NA,56200,2.9988,0,0
1984,1,8.9964,9,4,2011,1776,111,67200,2.9155,1,0
1995,1,2.1658,5,2,1999,1418,118,35000,1.666,4,0
1969,1,16.5767,9,2,2012,1154,85,59900,11.0789,1,0
NA,0,17.0765,7,2,2013,1838,255,69850,7.7469,1,0
1974,1,18.4093,4,3,2005,1288,119,32700,4.4982,4,0
1979,1,16.4934,4,2,2007,1372,101,32500,11.9119,1,1
1993,1,8.4133,1,3,2010,1546,141,53550,1.9159,NA,0
1975,0,6.2475,9,3,2008,1464,114,39350,3.5819,1,0
1988,1,7.0805,4,2,2009,1492,142,61800,2.2491,1,0
1990,1,6.8306,2,3,2006,1632,161,31750,1.9992,1,0
1981,0,9.0797,3,2,2011,1194,93,53750,4.5815,0,0
1988,0,2.1658,8,2,2012,1672,186,61300,1.7493,0,0
1987,0,14.7441,4,4,2011,1956,137,65900,8.5799,1,0
1975,1,21.5747,3,3,2008,1448,108,31600,15.9103,0,0
1993,0,3.2487,2,1,2007,1940,128,37200,1.2495,NA,0
1980,0,20.4918,3,3,2009,1258,145,49000,4.4149,1,0
1981,0,6.5807,4,1,2004,1902,127,33900,6.1642,0,1
1971,1,12.7449,9,2,2006,1328,146,34050,9.8294,1,0
1977,1,4.4982,6,2,2012,1738,151,47550,2.499,1,0
1982,0,17.1598,2,3,2012,1328,NA,57750,11.5787,2,0
NA,0,15.6604,7,2,2010,1174,95,73650,2.7489,2,0
1977,0,7.6636,6,3,2011,1152,85,60500,3.8318,1,0
1982,1,2.5823,3,3,2013,1148,93,61650,0.4998,0,0
1981,0,10.7457,3,2,2012,1356,91,70100,4.9147,0,0
1988,0,7.7469,4,1,2011,2162,160,51250,4.3316,0,0
1994,1,4.6648,4,3,2008,1788,202,32200,3.0821,0,0
1985,1,7.7469,2,1,2011,2066,223,58850,1.4161,1,0
1955,0,37.3184,2,3,2008,1222,127,32650,25.1566,0,0
1993,0,4.2483,3,3,2013,1162,105,61900,1.3328,1,0
1972,1,16.3268,9,2,2010,1492,NA,51950,5.9143,1,0
1984,1,10.829,1,3,2010,1598,91,76850,6.3308,0,0
1995,1,5.9976,1,3,2007,1710,131,34900,4.7481,2,0
1978,0,23.324,8,2,2008,1114,NA,30750,21.2415,0,0
1987,1,8.9131,9,1,2013,1870,209,49050,2.9988,0,1
1978,1,20.0753,8,2,2011,1682,279,65150,14.4109,2,0
1967,1,19.4089,7,4,2012,2198,170,45150,11.7453,3,0
1991,0,10.4958,3,1,2010,1768,140,75200,5.7477,2,0
1994,1,4.9147,4,3,2009,1190,NA,61300,3.4153,0,0
1965,1,21.3248,5,1,2013,1984,117,58150,10.0793,0,0
1980,0,11.1622,5,4,2012,1616,NA,58750,8.9964,1,0
1987,1,4.5815,5,3,2009,1874,258,48800,0.9996,3,0
1993,0,8.33,9,2,2008,1768,117,30950,6.4141,0,0
1957,0,24.5735,2,3,2012,1492,106,51500,16.3268,0,0
NA,0,21.7413,2,2,2013,1256,108,72400,17.493,1,0
NA,0,10.3292,1,2,2007,1472,100,30850,8.6632,1,0
1993,0,3.9151,8,2,2010,1410,117,45500,1.8326,2,0
1955,1,31.4041,9,2,2013,1272,121,45200,17.0765,2,1
1970,1,21.2415,9,3,2002,1150,102,31350,11.1622,0,0
1989,1,5.831,3,3,2011,1360,105,55700,1.9159,0,0
1985,1,4.3316,5,2,2008,1662,178,33200,1.8326,1,0
NA,1,8.8298,4,2,2011,1696,NA,49250,5.9976,2,0
1964,0,20.0753,1,3,2011,1394,NA,70450,7.3304,NA,0
NA,1,17.0765,4,3,2010,1334,98,47950,5.7477,3,1
1989,1,6.8306,4,3,2009,1350,101,71850,3.9151,0,0
1991,1,6.4141,5,3,2011,1630,NA,66650,1.4161,0,1
1975,1,17.8262,2,3,2012,1204,146,63900,5.4978,1,1
1995,1,5.6644,2,4,2012,1646,167,76800,3.8318,0,0
NA,1,8.0801,9,2,2003,1666,200,34750,5.1646,1,0
1974,0,8.8298,4,3,2005,1642,140,30300,5.9143,3,0
1961,1,17.9928,5,1,2012,1678,224,72350,10.6624,0,0
NA,0,13.328,4,3,2009,1684,185,49000,5.831,0,0
1976,0,12.4117,9,1,2009,1682,146,55100,9.2463,2,0
1950,0,26.7393,4,1,2013,1842,135,56250,21.3248,1,0
NA,1,9.8294,4,1,2009,2076,120,79700,3.1654,3,0
NA,1,14.6608,8,2,2013,1694,201,67850,2.1658,0,0
NA,1,4.4149,3,2,2012,1220,94,77150,2.9988,0,0
1971,0,15.1606,7,2,2007,1660,172,30300,9.0797,0,0
1989,1,8.9131,4,2,2011,1192,80,40650,2.2491,1,0
1969,1,22.9908,4,1,2012,2348,234,62250,16.0769,0,0
NA,0,7.497,4,3,2005,1316,99,33200,4.2483,1,1
1976,0,16.7433,9,4,2013,2062,139,40050,2.499,0,1
1988,0,7.4137,3,3,2002,1594,103,32650,5.831,2,1
1970,1,16.8266,5,3,2010,1412,NA,52200,7.1638,2,0
NA,0,25.5731,8,4,2011,1762,126,55150,19.0757,0,0
1988,1,5.6644,2,2,2011,1322,115,69500,2.0825,1,0
1975,1,14.9107,2,1,2005,1922,166,31000,10.4958,1,1
1980,1,15.6604,1,3,2013,1160,NA,55000,3.7485,1,0
1982,0,4.8314,2,3,2013,1120,NA,64800,1.7493,2,0
1990,1,4.4149,9,2,2013,1122,78,44450,0.4998,1,0
1994,0,6.7473,7,1,2010,1870,154,62500,3.8318,3,0
1995,0,1.4161,2,3,2011,1280,98,74150,0.4998,3,0
1970,0,11.9952,1,3,2013,1398,125,65750,6.4141,2,1
1959,0,9.3296,8,3,2010,1390,124,50400,7.3304,3,0
1983,1,11.9952,5,2,2002,1630,116,33300,3.8318,1,0
1972,0,14.2443,9,4,2013,1878,148,47250,5.831,1,0
NA,0,25.4898,3,3,2012,1602,143,55300,12.2451,1,0
1986,0,11.8286,9,4,2008,1916,213,38200,3.6652,1,0
1983,0,13.6612,2,2,2011,1410,122,43800,9.0797,1,0
1982,0,9.7461,3,1,2013,1796,NA,44200,3.4153,1,0
1972,0,22.9908,9,3,2004,1520,125,32450,14.0777,0,0
1955,1,39.8174,4,3,2001,1108,83,31150,23.1574,2,0
1980,0,11.8286,3,3,2007,1198,77,31650,4.5815,0,1
1970,1,9.4129,4,2,2013,1274,147,47300,5.7477,0,0
1971,0,15.9103,3,2,2012,1568,100,51750,8.2467,0,0
1978,0,21.2415,2,3,2009,1394,119,63800,19.159,NA,0
1982,1,16.7433,5,2,2012,1898,249,53950,9.0797,4,1
1988,0,7.3304,3,2,2012,1496,139,44800,4.2483,1,0
1995,1,3.332,3,2,2000,1484,142,30800,0.7497,0,0
1975,0,21.7413,9,1,2003,2220,162,34300,11.3288,0,0
1991,0,1.7493,3,1,2003,1968,NA,35550,0.6664,2,0
NA,1,6.4141,4,2,2011,1194,81,44000,4.3316,0,1
1974,0,19.4089,5,2,2013,1240,99,50500,9.2463,0,1
1964,1,20.0753,5,3,2012,1266,115,62500,2.7489,0,0
1972,1,26.9892,1,2,2007,1432,102,31800,10.829,2,0
1972,1,24.0737,3,3,2010,1216,117,69050,6.7473,2,0
1991,1,7.1638,9,3,2004,1298,96,35400,5.4978,0,0
NA,0,13.6612,1,3,2013,1336,NA,67050,10.9123,3,0
1954,1,4.6648,9,2,2011,1668,NA,69500,1.0829,0,0
NA,0,10.7457,4,2,2011,1424,113,70750,3.6652,0,1
1991,1,4.9147,1,1,2006,2280,155,36350,1.3328,1,1
NA,1,9.3296,7,3,2009,1214,106,58850,0.7497,0,0
1989,1,7.6636,5,3,2008,1586,94,35600,4.3316,2,0
NA,1,1.5827,6,2,2009,1292,118,54500,0.3332,1,0
1976,1,13.2447,3,2,2011,1430,112,50600,5.5811,2,0
1981,0,9.4962,2,1,2008,1802,215,31250,9.4129,1,1
1987,1,13.7445,4,4,2007,1882,234,32750,9.3296,0,1
1985,1,15.827,2,3,2010,1736,184,61400,2.1658,0,1
1979,1,8.2467,3,2,2011,1558,120,42650,5.6644,2,0
1962,1,19.0757,3,3,2013,1414,94,48350,5.831,0,0
1972,1,20.1586,3,2,2012,1318,92,52900,16.5767,0,0
1950,1,42.8162,5,2,2013,1548,147,53850,22.9908,3,0
1956,0,32.5703,2,2,2008,1416,107,36500,28.4886,NA,0
1967,0,32.9035,8,1,2011,2042,NA,47200,19.4089,1,0
1966,0,15.9936,4,4,2013,1658,NA,54800,7.497,1,1
1965,1,23.0741,4,2,2009,1272,111,57450,6.9972,0,0
1980,1,16.5767,3,4,2013,1990,179,63000,10.4958,4,0
1985,0,6.4141,4,1,2013,1846,NA,41000,2.6656,0,0
1992,1,4.4149,1,2,2013,1198,97,55150,3.8318,0,0
1965,0,24.6568,4,4,2013,1798,147,52450,18.0761,1,0
1995,1,4.165,3,2,2008,1486,140,32000,3.4153,1,0
1973,0,25.4898,2,3,2009,1456,128,69750,9.996,2,0
1957,1,14.161,3,1,2012,2042,194,41900,4.0817,3,0
1972,1,27.9055,1,2,2009,1536,129,54850,24.2403,0,0
1972,1,10.4125,2,1,2012,1734,157,71450,6.9972,0,0
1982,1,5.7477,3,3,2012,1256,148,49150,3.2487,1,0
1969,0,7.0805,1,1,2009,1712,232,53850,5.3312,1,0
1994,0,3.8318,7,2,2012,1688,333,72700,2.9988,0,0
1968,1,26.656,8,3,2012,1620,129,71750,21.2415,1,0
NA,1,12.8282,2,4,2013,1684,247,69100,3.2487,0,0
1978,1,13.9111,3,3,2008,1298,92,33500,11.1622,0,0
1964,1,23.1574,9,2,2009,1650,142,50350,15.4938,1,0
1992,1,5.831,4,3,2013,1882,120,64750,4.3316,2,0
1964,0,34.8194,2,1,2009,1666,NA,51800,11.9119,0,1
